HANZI	Starostin1989	Karlgren1954	Li1971	Pan2000	Wang1980	Zhengzhang2003	Baxter2014
東	o / tōŋ	u / tuŋ	u / tuŋ	o / tooŋ	o / toŋ	o / tooŋ	o / tˤ  oŋ
杻	? / ?	ʊ / ni ̯ʊg	ə / nrjəgwx	u / m-luʔ	u / niu	u / nuʔ	u / n̥ <r> uʔ
松	o / lhoŋ	u / suŋ	u / skuŋh	o / sqlooŋs	o / soŋ	o / sqhlooŋs	o / sə. ɢ  oŋ
板	a / prānʔ	a / pan	a / pranx	a / praanʔ	a / pean	a / praanʔ	a / C. pˤ r anʔ
枌	? / ?	ə / b'i ̯wən	ə / bjən	ɯ / bɯn	ə / biən	ɯ / bɯn	? / ?
枕	ə / tǝmʔ	u / d'i ̯u ̆m	ə / drjəm	u / g-lum	ə / diuəm	u / l'um	ə / [t. k]  [ə]mʔ -s
林	ə / rǝm	ə / li ̯əm	ə / ljəm	ɯ / [g]rɯm	ə / liəm	ɯ / g·rɯm	ə / [r]  əm
枚	ə / mǝ̄j	ə / mər	ə / məd	ɯ / mɯɯl	ə / myən	ɯ / mɯɯl	ə / mˤ  əj
枝	e / ke	e / ȶi ̯e ̆g	i / krjig	e / kje	e / tɕie	e / kje	e / k  e
枸	o / koʔ	u / ku	u / kug	o / koo	o / ko	o / koo	o / [k] (r) oʔ
柏	a / prāk	a / pa ̆k	a / prak	a / praag	a / peak	a / praag	a / pˤ r ak
柔	u / nu	ʊ / ȵi ̯ʊg	ə / njəgw	u / mlju	u / ȵiu	u / mlju	u / n  u
柘	a / tiaks	a / ȶi ̯ag	a / tjiagh	a / kljags	a / tɕyak	a / tjags	a / t  Ak -s
柞	a / ćāk	ɑ / tsɑk	a / tsak	a / skaag	a / tsak	a / ʔsaag	a / [ts]ˤ r ak
柯	? / ?	ɑ / kɑ	a / kar	a / kaal	a / kai	a / kaal	a / [k]ˤ  ar
柳	i / riwʔ	ʊ / li ̯ʊg	ə / ljəgwx	u / [m]ruʔ	u / liu	u / m·ruʔ	u / ([m]ə.) r  uʔ
柴	e / ʒ́(h)rēj	e / dz'e ̆g	i / dzrig	e / zree	e / dʒe	e / zree	e / [C. dz]ˤ r e(j)
栗	i / rhit	e / li ̯e ̆t	i / ljit	i / [b]rig	e / liet	i / rig	i / [r]  i[t]
栩	a / sw(r)aʔ	o / xi ̯wo	a / hwjagx	a / qhʷaʔ	a / xiua	a / qhʷaʔ	? / ?
株	o / tro	u / ti ̯u	u / trjug	o / to	o / tio	o / to	o / t r o
栲	? / ?	ʊ / k'ʊg	ə / khəgwx	u / khluuʔ	u / khu	u / khluuʔ	? / ?
栵	a / r(h)ats	a / li ̯ad	a / ljadh	e / [b]reds	a / liat	e / reds	? / ?
格	a / krāk	ɑ / kɑk	a / kak	a / klaag	a / kak	a / klaag	a / kˤ r ak
桀	a / g(h)rat	a / g'i ̯at	a / gjiat	a / grad	a / giat	a / grad	a / N- [k] <r> at
桃	a / Łhāw	o / d'og	a / dagw	a / g-laaw	o / dô	a / l'aaw	a / C. lˤ  aw
桋	? / ?	æ / d'i ̯ær	i / djid	i / b-li	e / diei	i / l'iil	? / ?
桑	a / sāŋ	ɑ / sɑŋ	a / saŋ	a / sŋaaŋ	a / saŋ	a / sŋaaŋ	a / [s]ˤ  aŋ
梁	? / ?	a / li ̯aŋ	a / ljaŋ	a / raŋ	a / liaŋ	a / raŋ	a / r  aŋ
梅	? / ?	ə / məg	ə / məg	ɯ / mɯɯ	ə / mə	ɯ / mɯɯ	ə / C. mˤ  ə
梓	? / ?	ə / tsi ̯əg	ə / tsjəgx	ɯ / sɯʔ	ə / tsiə	ɯ / ʔsɯʔ	ə / [ts]  əʔ
梗	? / ?	a / ka ̆ŋ	a / kraŋx	a / kraaŋʔ	a / keaŋ	a / kraaŋʔ	a / kˤ r aŋʔ
條	? / ?	ʊ / d'iʊg	ə / diəgw	ɯ / lɯɯw	u / dyu	ɯ / l'ɯɯw	i / lˤ  iw
梴	a / ƛhan	a / thi ̯an	a / thrjan	a / rl̥an	a / thian	a / lhan	? / ?
棄	? / ?	e / k'i ̯e ̆d	i / khjidh	i / khids	e / khiet	i / khlids	i / [kʰ]  i[t] -s
棗	u / cūʔ (~ ć-)	ʊ / tsʊg	ə / tsəgwx	u / suuʔ	u / tsu	u / ʔsuuʔ	u / [ts]ˤ  uʔ
棘	ə / kǝk	ə / ki ̯ək	ə / kjək	ɯ / krɯɡ	ə / kiək	ɯ / krɯɡ	ə / k r ək
棠	a / d(h)āŋ	ɑ / d'ɑŋ	a / daŋ	a / g-laaŋ	a / daŋ	a / daaŋ	a / [N.] rˤ  aŋ
棣	ə / lhǝ̄ts (~ -js, ~ -ps)	ə / d'iəd	ə / diədh	ɯ / b-lɯɯds	ə / dyət	ɯ / l'ɯɯds	ə / [N]. rˤ  əp -s
棫	? / ?	ə / gi ̯wək	ə / gwjək	ɯ / gʷrɯɡ	ə / ɣiuə̆k	ɯ / gʷrɯɡ	? / ?
棲	ə / shǝ̄j	ə / siər	i / sid	i / sliil	e / syei	i / siil	ə / s- nˤ  ər
椅	a / ʔaj	a / ʔia	a / ʔjiar	a / qal	a / iai	a / qral	a / Cə. q (r) ajʔ
椐	a / ka	o / ki ̯o	a / kjag	a / ka	a / kia	a / ka	? / ?
椒	e / cew	ʊ / tsi ̯ʊg	ə / tsjəgw	i / skliw	u / tsiu	i / ʔsliw	i / s. tˤ  iw
楊	a / Łaŋ	a / di ̯aŋ	a / raŋ	a / laŋ	a / ʎiaŋ	a / laŋ	a / l  aŋ
楚	a / shraʔ	o / tʂʻi ̯o	a / tshrjagx	a / sŋ̊raʔ	a / tʃhia	a / sŋhraʔ	a / s. r̥  aʔ
楨	? / ?	e / ti ̯e ̆ŋ	i / trjiŋ	e / rteŋ	e / tieŋ	e / teŋ	? / ?
楫	ə / ćǝp	a / tsi ̯ap	a / tsjap	e / skeb	a / tsiap	e / ʔseb	ə / [ts]  əp
業	a / ŋap	a / ŋi ̯ap	a / ŋjap	a / ŋab	a / ŋiap	a / ŋab	a / [ŋ] (r) [a]p
楰	o / loʔ (~ Ł-)	u / di ̯u	u / rug	o / lo	o / ʎio	o / lo	? / ?
極	ə / gǝk	a / g'i ̯ap	a / gjap	a / grab	a / giap	a / grab	ə / [g] (r) ək
楹	? / ?	e / di ̯e ̆ŋ	i / riŋ	e / leŋ	e / ʎieŋ	e / leŋ	e / l  eŋ
榆	o / lo	u / di ̯u	u / rug	o / lo	o / ʎio	o / lo	o / l  o
榛	i / ćrin	e / tʂi ̯e ̆n	i / tsrjin	i / srin	e / tʃien	i / ʔsrin	i / ts r i[n]
槱	? / ?	ʊ / di ̯ʊg	ə / rəgwx	u / [g]luʔ	u / ʎiu	u / luʔ	? / ?
樂	a / rākʷ	o / ŋo ̆k	a / ŋragwh	a / ŋgraawgs	o / ŋeôk	a / ŋraawɢs	a / [ŋ]ˤ r awk
樅	o / shoŋ	u / tsi ̯uŋ	u / tsjuŋ	o / soŋ	o / tsioŋ	o / ʔsloŋ	? / ?
樊	a / b(h)an	a / b'i ̯wa ̆n	a / bjan	a / ban	a / bian	a / ban	? / ?
樕	o / sōk	u / suk	u / suk	o / sloog	o / sok	o / sloog	? / ?
樗	? / ?	o / thi ̯o	a / thrjag	a / kh-la	a / thia	a / qhʷl'a	? / ?
樞	? / ?	u / ȶʻi ̯u	u / khrjug	o / khjo	o / tɕhio	o / khjo	o / qˤ (r) o
樸	o / bōk	u / p'u ̆k	u / phruk	o / phroog	e / pheok	o / phroog	o / pʰˤ r ok
樹	o / dhoʔ	u / ȡi ̯u	u / djugx	o / djoʔ	o / ʑio	o / djoʔ	o / m- t  oʔ
橐	? / ?	ɑ / t'ɑk	a / thak	a / kh-laag	a / thak	a / thaag	a / tʰˤ  ak
檀	a / dhān	ɑ / d'ɑn	a / dan	a / daan	a / dan	a / daan	? / ?
檖	? / ?	ə / dzi ̯wəd	ə / sdjədh	u / ljuds	ə / ziuət	u / ljuds	u / sə. l  u[t] -s
檻	? / ?	a / g'am	a / gramx	a / graamʔ	a / ɣeam	a / graamʔ	a / [g]ˤ r amʔ
櫛	i / ćrit	e / tʂi ̯e ̆t	i / tsrjit	i / srig	e / tʃiet	i / ʔsrig	? / ?
櫜	? / ?	ʊ / kʊg	ə / kəgw	ɯ / kɯɯw	u / kyu	ɯ / kɯɯw	? / ?
櫟	? / ?	o / di ̯ok	a / grjakw	a / [g]lawg	o / ʎiôk	a / lawɢ	e / [r]ˤ  ewk
櫱	? / ?	a / ŋat	a / ŋat	a / ŋaad	a / ŋat	a / ŋaad	a / ŋ (r) at
欒	o / r(h)ōn	ɑ / lwɑn	a / luan	o / [b]roon	a / luan	o / b·roon	o / [r]ˤ  o[n]
欣	ə / hǝr	ə / xi ̯ən	ə / hjən	ɯ / qhɯn	ə / xiən	ɯ / qhɯn	ə / qʰ  ər
欲	? / ?	u / di ̯uk	u / grjuk	o / [g]log	o / ʎiok	o / log	o / ɢ (r) ok
欽	ə / kh(r)ǝm	ə / k'i ̯əm	ə / khjiəm	ɯ / khrɯm	ə / khiəm	ɯ / khrɯm	? / ?
歆	ə / hǝm	ə / xi ̯əm	ə / hjiəm	ɯ / qhrɯm	ə / xiəm	ɯ / qhrɯm	ə / [qʰ] (r) əm
歌	a / kāj	ɑ / kɑ	a / kar	a / kaal	a / kai	a / kaal	a / [k]ˤ  aj
歎	a / snārs	ɑ / t'ɑn	a / hnan	a / n̥aan	a / than	a / nhaan	a / n̥ˤ  ar
歗	? / ?	ʊ / siʊk	ə / siəgwh	ɯ / slɯɯwgs	u / syuk	ɯ / sɯɯwɢs	? / ?
止	ə / tǝʔ	ə / ȶi ̯əg	ə / tjəgx	ɯ / kljɯʔ	ə / tɕiə	ɯ / kjɯʔ	ə / t  əʔ
正	e / teŋs	e / ȶi ̯e ̆ŋ	i / tjiŋ	e / tjeŋ	e / tɕieŋ	e / tjeŋ	e / C. t  eŋ
此	e / ćhejʔ	e / ts'i ̯e ̆g	i / tshjigx	e / sheʔ	e / tshie	e / sheʔ	e / [tsʰ]  e(j)ʔ
武	a / maʔ	o / mi ̯wo	a / mjagx	a / mbaʔ	a / mia	a / maʔ	a / m (r) aʔ
歲	a / swhats	a / si ̯wa ̆d	a / skwjadh	a / sqhʷads	a / siuat	a / sqhʷads	a / s- qʷʰ  at -s
歸	ə / kʷǝj	ə / ki ̯wər	ə / kwjər	u / klul	ə / kiuəi	u / klul	ə / [k]ʷ  əj
死	i / sijʔ	æ / si ̯ær	i / sjidx	i / ph-ljiʔ	e / siei	i / hljiʔ	i / s  ijʔ
殄	ə / d(h)ǝ̄rʔ	ə / d'iən	ə / diənx	ɯ / g-lɯɯnʔ	ə / dyən	ɯ / l'ɯɯnʔ	ə / [d]ˤ  ə[n]ʔ
殆	? / ?	ə / d'əg	ə / dəgx	ɯ / lɯɯʔ	ə / də	ɯ / l'ɯɯʔ	ə / lˤ  əʔ
殘	a / ʒ́hān	ɑ / dz'ɑn	a / dzan	a / sgaan	a / dzan	a / zlaan	a / [dz]ˤ  a[n]
殳	o / d(h)o	u / ȡi ̯u	u / djug	o / djo	o / ʑio	o / djo	o / [d]  o
殷	ə / ʔǝr	æ / ʔæn	ə / ʔrən	ɯ / qrɯɯn	e / eən	ɯ / qrɯɯn	ə / ʔ  ə[r]
殽	? / ?	o / g'o ̆g	a / gragw	a / graaw	o / ɣeô	a / ɢraaw	? / ?
母	ə / mǝ̄ʔ	ə / məg	ə / məgx	ɯ / mɯɯʔ	ə / mə	ɯ / mɯʔ	ə / m  əʔ
毒	u / dhūk	ʊ / d'ʊk	ə / dəkw	u / duug	u / duk	u / l'uug	u / m- [d]ˤ  uk -s
比	i / pijʔ	æ / pi ̯ær	i / pjidx	i / piʔ	e / piei	i / piʔ	i / p  ij -s
毖	i / prits	e / pi ̯e ̆d	i / pjidh	i / prigs	e / pet	i / prigs	i / p r i[t] -s
毗	i / b(h)ij	æ / b'i ̯ær	i / bjid	i / bi	e / biei	i / bi	i / [b]  ij
毛	a / mhāw	o / mog	a / magw	a / maaw	o / mô	a / maaw	a / C. mˤ  aw
氏	e / g(h)eʔ	e / tsi ̯e ̆ŋ	i / tsjiŋ	e / skeŋ	e / tsieŋ	e / skeŋ	e / k. d  eʔ
氐	ə / tǝ̄jʔ (~ -ījʔ)	ə / tiər	i / tid	i / tiil	e / tyei	i / tiil	i / tˤ  ijʔ
民	i / min	e / mi ̯e ̆n	i / mjin	i / miŋ	e / mien	i / min	i / m  i[ŋ]
水	u / tujʔ	æ / ɕi ̯ær	i / hrjidx	i / qhʷljiʔ	e / ɕiei	i / qhʷljilʔ	u / s. t  urʔ
永	a / wraŋʔ	a / gi ̯wa ̆ŋ	a / gwjiaŋx	a / ɢʷraŋʔ	a / ɣyuaŋ	a / ɢʷraŋʔ	a / [ɢ]ʷ r aŋʔ
求	u / gu	ʊ / g'i ̯ʊg	ə / gjəgw	u / gu	u / giu	u / gu	u / [g] (r) u
汕	a / srāns	a / ʂa ̆n	a / srianx	e / sreenʔ	a / ʃean	e / sreenʔ	? / ?
汜	ə / lhǝʔ	ə / dzi ̯əg	ə / rjəgx	ɯ / sɢlɯʔ	ə / ziə	ɯ / ljɯʔ	? / ?
池	a / Łaj	ɑ / d'ɑ	a / dar	a / laal	a / dai	a / l'aal	a / Cə. l r aj
沃	u / ʔūk	o / ʔok	a / ʔakw	o / qoowg	o / ôk	o / qoowɢ	? / ?
沐	o / m(h)ōk	u / muk	u / muk	o / moog	o / mok	o / moog	? / ?
沒	ə / mǝ̄t	ə / mət	ə / mət	ɯ / mɯɯd	ə / myət	ɯ / mɯɯd	u / mˤ  ut
沖	u / d(h)ruŋ	ʊ / d'i ̯ʊŋ	ə / drjəŋw	u / duŋ	ə / diuəm	u / duŋ	u / [d] r uŋ
沙	a / srāj	a / ʂa	a / srar	a / sraal	a / ʃeai	a / sraal	a / sˤ r aj
沚	ə / tǝʔ	ə / ȶi ̯əg	ə / tjəgx	ɯ / kljɯʔ	ə / tɕiə	ɯ / kjɯʔ	? / ?
沮	a / ćas	o / tsi ̯o	a / tsjag	a / ska	a / tsia	a / ʔsa	a / [dz]  aʔ
沱	a / l(h)āj	ɑ / d'ɑ	a / dar	a / laal	a / dai	a / l'aal	a / lˤ  aj
河	a / ghāj	ɑ / g'ɑ	a / gar	a / gaal	a / ɣai	a / gaal	a / [C. g]ˤ  aj
治	ə / Łhǝs	ə / d'i ̯əg	ə / drjəg	ɯ / rlɯ	ə / diə	ɯ / l'ɯ	ə / l r ə -s
沼	a / tawʔ	o / ȶi ̯og	a / tjagwx	e / kljewʔ	o / tɕiô	e / tjewʔ	a / t  awʔ
況	a / smaŋs	a / xi ̯aŋ	a / hjaŋh	a / m̥haŋs	a / xiaŋ	a / hmaŋs	a / [m̥]  aŋ -s
泄	a / slhat	a / di ̯ad	a / rabh	e / [g]lebs	a / ʎiap	e / lebs	a / l  at -s
泉	a / ʒuar	a / dz'i ̯wan	a / dzjuan	o / sgon	a / dziua	e / sgʷen	a / s-N- ɢʷ  ar
泚	e / ćhejʔ	e / ts'ieg	i / tshigx	e / sheeʔ	e / tshye	e / sheeʔ	e / [tsʰ]  e(j)ʔ
波	a / pāj	ɑ / pɑ	a / par	a / paal	a / pai	a / paal	a / pˤ  aj
泣	ə / khrǝp	ə / k'i ̯əp	ə / khjəp	ɯ / khrɯb	ə / khiəp	ɯ / khrɯb	ə / k- r̥  əp
泥	ə / nǝ̄j	ə / niər	i / nid	i / niil	e / nyei	i / niil	ə / nˤ  ər(ʔ) -s
注	o / to(ʔ)s	u / ȶi ̯u	u / tjugh	o / tjos	o / tɕio	o / tjos	o / t r o(ʔ) -s
泮	a / phāns	ɑ / p'ɑn	a / phanh	a / phaans	a / phan	a / phaans	? / ?
泯	? / ?	e / mi ̯e ̆n	i / mjin	i / miŋ	e / mien	i / min	i / m  i[n]
泱	a / ʔaŋ	ɑ / ʔɑŋ	a / ʔaŋx	a / qaaŋʔ	a / aŋ	a / qaaŋʔ	? / ?
泳	a / w(h)raŋs	a / gi ̯wa ̆ŋ	a / gwjiaŋh	a / ɢʷraŋs	a / ɣyuaŋ	a / ɢʷraŋs	a / [ɢ]ʷ r aŋ(ʔ) -s
洋	a / laŋ	a / dzi ̯aŋ	a / rjaŋ	a / sɢlaŋ	a / ziaŋ	a / ljaŋ	a / ɢ (r) aŋ
洒	ə / sǝ̄rʔ	e / slĕg	a / srarx	e / sreelʔ	a / ʃeai	e / sreelʔ	ə / [s]ˤ  ərʔ
洧	? / ?	u / gi ̯ug	ə / gwjəgx	ɯ / ɢʷɯʔ	u / ɣiu	ɯ / ɢʷɯʔ	ə / [ɢ]ʷ r əʔ
洲	u / tu	ʊ / ȶi ̯ʊg	ə / tjəgw	u / tju	u / tɕiu	u / tju	? / ?
洳	a / n(h)a	o / ȵi ̯o	a / njag	a / nja	a / ȵia	a / nja	a / n  a -s
洵	i / swhin	e / si ̯we ̆n	i / skwjin	i / sqʷin	e / siuen	i / sqhʷin	? / ?
洸	a / kʷāŋ	ɑ / kwɑŋ	a / kwaŋ	a / kʷaaŋ	a / kuaŋ	a / kʷaaŋ	? / ?
活	a / ghʷāt	ɑ / kwɑt	a / kuat	o / kood	a / kuat	o / kood	a / [g]ʷˤ  at
流	u / ru	ʊ / li ̯ʊg	ə / ljəgw	u / ru	u / liu	u / ru	u / r  u
浦	a / phāʔ	o / p'o	a / phagx	a / phaaʔ	a / pha	a / phaaʔ	a / pʰˤ  aʔ
浮	u / bhu	ʊ / b'i ̯ʊg	ə / bjəgw	u / bu	u / biu	u / bu	u / m. b (r) u
海	ə / smǝ̄ʔ	ə / xməg	ə / hməgx	ɯ / m̥hlɯɯʔ	ə / xə	ɯ / hmlɯɯʔ	ə / m̥ˤ  əʔ
浼	ə / m(h)ǝ̄rʔ	ə / mwər	ə / mədx	u / muulʔ	ə / muəi	u / muulʔ	u / mˤ  [u]rʔ
涇	e / kēŋ	e / g'i ̯e ̆ŋ	i / gjiŋ	e / geŋʔ	e / gieŋ	e / geŋʔ	? / ?
消	a / saw	o / si ̯og	a / sjagw	e / slew	o / siô	e / sew	e / [s]  ew
涉	a / d(h)ap	a / ȡi ̯ap	a / djap	e / djeb	a / ʑiap	e / djeb	? / ?
涕	i / ƛ(h)ījʔ	ə / t'iər	i / thidx	i / ph-liilʔ	e / thyei	i / thiilʔ	ə / [l̥]ˤ  [ə]jʔ -s
涖	? / ?	ə / lwəb	ə / l玝h	ɯ / [ɢ]rɯɯbs	a / lyap	ɯ / rɯɯbs	? / ?
涘	? / ?	ə / dʐʻi ̯əg	ə / dzrjəgx	ɯ / srɯʔ	ə / dʒiə	ɯ / sɢrɯʔ	? / ?
涵	? / ?	ə / g'əm	ə / gəm	u / guum	ə / 墨m	u / guum	o / [g]ˤ  [o]m
涼	a / raŋ	a / li ̯aŋ	a / ljaŋ	a / [g]raŋ	a / liaŋ	a / g·raŋ	a / C. r  aŋ
淇	ə / g(h)ǝ	ə / g'i ̯əg	ə / gjəg	ɯ / gɯ	ə / giə	ɯ / gɯ	? / ?
淑	i / d(h)ikʷ	ʊ / ȡi ̯ʊk	ə / djəkw	i / gljiwg	u / ʑiuk	ɯ / ɦljɯwɢ	i / [d]  iwk
淒	ə / shǝ̄j	ə / ts'iər	i / tshid	i / shiil	e / tshye	i / shiil	? / ?
淠	? / ?	e / p'i ̯e ̆d	i / phjidh	i / phrids	e / phet	i / phrids	i / pʰˤ  i[t] -s
淢	? / ?	ə / xi ̯wək	ə / hwjiək	ɯ / qhʷrɯɡ	ə / xiuə̆k	ɯ / qhʷrɯɡ	i / m̥ (r) ik
淪	u / r(h)un	ə / li ̯wən	ə / ljən	u / [g]run	ə / liuən	u / run	? / ?
深	ə / ƛhǝm	u / ɕi ̯u ̆m	ə / hrjəm	u / qhljum	ə / ɕiuəm	u / hljum	ə / [l̥]  [ə]m
淵	i / ʔʷīn	e / ʔiwen	i / ʔwin	i / qʷiin	e / yuen	i / qʷiin	i / [ʔ]ʷˤ  i[ŋ]
淺	e / ćhenʔ (~ -a-)	a / ts'i ̯an	a / tshjanx	e / skhenʔ	a / tshia	e / shlenʔ	e / [tsʰ]  e[n]ʔ
清	e / sheŋ	e / ts'i ̯e ̆ŋ	i / tshjiŋ	e / skheŋ	e / tshie	e / shleŋ	e / tsʰ  eŋ
渙	a / swāns	ɑ / xwɑd	a / huadh	o / qhoods	a / xuat	a / qhʷaads	a / qʷʰˤ  a[n] -s
渚	a / taʔ	o / ȶi ̯o	a / tjagx	a / kljaʔ	a / tɕia	a / tjaʔ	a / t  aʔ
渝	o / lo	u / di ̯u	u / rug	o / lo	o / ʎio	o / lo	o / l  o
渠	a / ga	o / g'i ̯o	a / gjag	a / ga	a / gia	a / ga	a / [g] (r) a
渥	o / ʔrōk	u / ʔu ̆k	u / ʔruk	o / qroog	e / eok	o / qroog	o / qˤ r ok
渭	ə / w(h)ǝts	ə / gi ̯wəd	ə / gwjədh	u / ɢuds	ə / ɣiuət	u / ɢuds	? / ?
渴	a / khāt	a / k'at	a / khat	a / khaad	a / khat	a / khaad	a / Nə- [k]ʰˤ  at
游	u / lu	ʊ / di ̯ʊg	ə / rəgw	u / lu	u / ʎiu	u / lu	u / [N-] r  u
湄	? / ?	æ / mi ̯ær	i / mjid	i / mril	e / miei	i / mril	? / ?
湑	a / saʔ	o / si ̯o	a / sjag	a / sŋa	a / sia	a / sŋa	a / s- r  aʔ
湘	a / saŋ	a / si ̯aŋ	a / sjaŋ	a / slaŋ	a / siaŋ	a / slaŋ	? / ?
湛	? / ?	ə / təm	ə / təm	u / k-luum	ə / təm	u / ʔl'uum	? / ?
湝	? / ?	æ / kær	i / krid	i / krii	e / kei	i / kriil	ə / [g]ˤ r əj
湯	a / ƛāŋ	ɑ / t'ɑŋ	a / thaŋ	a / l̥aaŋ	a / thaŋ	a / lhaaŋ	a / r̥ˤ  aŋ
溉	? / ?	ə / kəd	ə / kədh	ɯ / kɯɯds	ə / kyət	ɯ / kɯɯds	ə / [k]ˤ  ə[t] -s
溱	? / ?	e / tʂi ̯e ̆n	i / tsrjin	i / srin	e / tʃien	i / ʔsrin	? / ?
溺	e / nhēkʷ	o / ȵi ̯ok	a / njakw	e / njewg	o / ȵiôk	e / njewɢ	e / kə. nˤ  ewk -s
滅	e / met	a / mi ̯at	a / mjiat	e / med	a / miat	e / med	e / [m]  et
滔	? / ?	ʊ / t'ʊg	ə / thəgw	u / l̥uu	u / thu	u / lhuu	u / l̥ˤ  u
滸	a / sŋāʔ	o / xo	a / hŋagx	a / ŋ̊haaʔ	a / xa	a / hŋaaʔ	a / qʰˤ  aʔ
漂	? / ?	o / p'i ̯og	a / phjiagw	e / phew	o / phiô	e / phew	? / ?
漆	i / shit	e / ts'i ̯e ̆t	i / tshjit	i / shig	e / tshie	i / shig	i / [tsʰ]  i[t]
漏	? / ?	u / lu	u / lugh	o / roos	o / lo	o / roos	o / [Nə- r]ˤ  ok -s
漕	u / ʒ(h)ū (~ ʒ́)	ʊ / dz'ʊg	ə / dzəgw	u / zuu	u / dzu	u / zluu	? / ?
漘	? / ?	ə / ȡʻi ̯wən	ə / djən	u / sbljun	ə / dʑiuən	u / ɦljun	u / sə. d  ur
漙	o / dhōn	ɑ / d'wɑn	a / duan	o / doon	a / duan	o / doon	? / ?
漢	a / sŋārs	ɑ / xɑn	a / hanh	a / n̥haans	a / xan	a / hnaans	a / n̥ˤ  ar -s
漣	? / ?	a / li ̯an	a / ljan	e / [b]ren	a / lian	e / ren	a / [r]  a[n]
漿	a / ćaŋ	a / tsi ̯aŋ	a / tsjaŋ	a / skaŋ	a / tsiaŋ	a / ʔsaŋ	a / [ts]  aŋ
潀	? / ?	u / dz'uŋ	u / dzuŋ	o / sglooŋ	o / dzoŋ	o / zlooŋ	? / ?
潦	a / r(h)āwʔ	o / liog	a / liagwx	e / [g]reewʔ	o / lyô	e / reewʔ	? / ?
潰	ə / whǝ̄ts (~ -js)	ə / g'wər	ə / gwədh	u / gluuls	ə / ɣuəi	u / gluuls	ə / [gʷ]ˤ  [ə]j -s
澗	a / krāns	a / ka ̆n	a / krianh	e / kreens	a / kean	e / kreens	a / [k]ˤ r a[n] -s
澤	a / Ł(h)āk	a / d'a ̆k	a / drak	a / rlaag	a / deak	a / rlaag	a / lˤ r ak
濁	o / d(h)rōk	u / d'u ̆k	u / druk	o / rdoog	e / deok	o / rdoog	o / [N- tˤ] r ok
濃	? / ?	u / ni ̯uŋ	u / nrjuŋ	o / noŋ	o / nioŋ	o / noŋ	o / n <r> oŋ
濆	ə / bǝr	ə / p'ən	ə / phən	ɯ / phɯɯn	ə / phyən	ɯ / phɯɯn	? / ?
濈	? / ?	ə / tʂi ̯əp	ə / tsrjəp	i / skrib	ə / tʃiəp	i / ʔsrib	i / s. q <r> [i]p
濔	e / n(h)ējʔ	a / mia	a / mjiarx	e / mlelʔ	a / miai	e / mnelʔ	? / ?
濕	i / slip	ə / t'əp	ə / thəp	ɯ / kh-lɯɯb	a / thyap	ɯ / t-ŋhɯɯb	i / [qʰ]  ip
濛	? / ?	u / muŋ	u / muŋ	o / mooŋ	o / moŋ	o / mooŋ	? / ?
濟	ə / ćǝ̄js	ə / tsiər	i / tsidx	i / siilʔ	e / tsyei	i / ʔsliilʔ	ə / [ts]ˤ  əjʔ
濡	o / n(h)o	u / ȵi ̯u	u / njug	o / njo	o / ȵio	o / njo	o / n  o
濩	a / w(h)āk	a / g'wa ̆g	a / gwragh	a / ɢʷraags	a / ɣoak	a / ɢʷraags	? / ?
濫	a / rāms	ɑ / lɑm	a / lamh	a / [g]raams	a / lam	a / g·raams	? / ?
濯	? / ?	o / d'o ̆k	a / dragwh	e / rleewgs	o / deôk	e / r'eewɢs	e / lˤ r ewk
濱	i / pin	e / pi ̯e ̆n	i / pjin	i / pin	e / pien	i / pin	? / ?
瀌	a / paw	o / pi ̯og	a / pjagw	e / prew	o / piô	e / prew	? / ?
瀖	? / ?	ɑ / xwɑk	a / hwak	a / qhʷaag	a / xuak	a / qhʷaag	? / ?
瀟	? / ?	ʊ / siʊg	ə / siəgw	ɯ / slɯɯw	u / syu	ɯ / sɯɯw	? / ?
瀰	? / ?	ə / niər	i / nidx	i / m-liilʔ	e / nyei	i / niilʔ	e / m. n  erʔ
瀼	? / ?	a / ȵi ̯aŋ	a / njaŋ	a / njaŋ	a / ȵiaŋ	a / njaŋ	? / ?
灌	? / ?	ɑ / kwɑn	a / kuanh	o / koons	a / kuan	o / koons	a / [C. qʷ]ˤ  ar -s
火	ə / smǝ̄jʔ	ɑ / xwɑ	ə / hwərx	a / qhʷaalʔ	a / xuai	a / qhʷaalʔ	ə / [qʷʰ]ˤ  əjʔ
炎	a / wam (?)	a / gi ̯am	a / gwjam	a / ɢlam	a / ɣiam	a / ɦlam	a / [ɢ]ʷ (r) am
炙	a / tiak	a / ȶi ̯ag	a / tjiagh	a / tjags	a / tɕyak	a / tjaags	a / t  Ak
炤	? / ?	o / ȶi ̯og	a / tjagwh	e / kljews	o / tɕiô	e / tjews	a / t  aw -s
炮	u / phrūs bhrū	ʊ / p'ʊ̆g	ə / phrəgwh	u / phruus	e / pheu	u / phruus	? / ?
為	a / waj	a / gwia	a / gwjar	a / ɢʷal	a / ɣiuai	a / ɢʷal	a / ɢʷ (r) aj -s
烈	a / rhat	a / li ̯at	a / ljat	e / [b]red	a / liat	e / red	a / [r]  at
烏	a / ʔā	o / ʔo	a / ʔag	a / qaa	a / a	a / qaa	a / ʔˤ  a
焉	a / ʔan	a / ʔi ̯an	a / ʔjian	a / qran	a / ian	a / qran	a / ʔ  a[n]
